trade_id,client_id,segment,trade_amount,trade_date
94,380,Currency,211477.61,2024-03-04
95,474,Equity,213805.94,2024-06-12
96,1104,Equity,459423.4,2023-01-28
97,697,F&O,288625.94,2023-05-06
98,1391,F&O,353483.23,2024-05-13
99,1485,Equity,209100.58,2023-07-06
100,911,Commodity,112622.69,2024-10-15
101,1563,Commodity,362056.09,2024-01-07
102,1476,Equity,304304.06,2023-05-18
103,1488,Equity,251170.1,2023-12-03
104,960,Currency,312386.45,2023-08-02
105,478,Commodity,104934.51,2023-10-18
106,1004,F&O,397175.41,2024-07-23
107,926,Equity,474133.24,2024-01-06
108,1444,Equity,445660.47,2024-06-13
109,707,F&O,161396.44,2024-11-22
110,1238,Equity,203596.88,2024-10-31
111,1393,Equity,404392.75,2024-07-02
112,854,F&O,297963.45,2023-10-23
113,1138,Equity,274409.31,2024-08-13
114,1017,Commodity,463394.34,2024-02-23
115,754,Commodity,268476.46,2024-10-27
116,503,Equity,257954.4,2023-12-27
117,1660,Commodity,21967.28,2023-06-07
118,817,Equity,35639.06,2023-03-16
119,588,Commodity,4702.73,2024-01-07
120,1335,Equity,456708.87,2024-07-20
121,1493,Equity,204784.94,2024-12-18
122,1848,F&O,234812.13,2024-12-27
123,708,F&O,422848.09,2024-06-04
124,1887,Currency,305013.91,2023-04-16
125,1068,Equity,305141.3,2024-01-02
126,1439,Equity,148970.68,2024-02-06
127,1722,F&O,417120.28,2023-04-13
128,1879,F&O,83749.16,2023-11-21
129,1270,Equity,27521.65,2024-01-08
130,1973,F&O,96610.08,2023-12-04
131,1108,Commodity,134600.87,2023-02-02
132,207,Currency,141873.22,2023-04-18
133,151,Currency,335586.29,2024-02-26
134,668,Equity,109694.47,2023-09-26
135,528,Commodity,338652.49,2023-03-14
136,165,Equity,46474.95,2023-06-30
137,917,F&O,74454.03,2023-06-01
138,1999,F&O,254901.9,2024-05-26
139,1169,Currency,461026.01,2023-03-09
140,1010,Commodity,429924.23,2024-01-07
141,37,Currency,484407.97,2023-12-14
142,333,Commodity,325589.05,2024-12-09
143,403,Currency,338231.62,2023-02-01
144,414,Commodity,312886.48,2024-09-11
145,45,F&O,311786.64,2023-03-20
146,1426,Equity,74413.05,2023-09-16
147,206,Equity,272325.74,2024-05-11
148,62,Equity,193647.9,2023-06-24
149,420,F&O,221826.07,2024-01-02
150,868,F&O,262276.69,2023-01-15
151,1492,F&O,65069.69,2023-02-20
152,820,Currency,180384.38,2023-04-17
153,19,Currency,32661.33,2024-12-22
154,365,Equity,489854.4,2024-04-13
155,1324,Equity,60145.49,2023-07-21
156,1031,Equity,130003.84,2023-08-06
157,1785,Equity,445755.17,2023-02-10
158,428,Commodity,241872.31,2024-01-20
159,1141,F&O,68682.96,2024-12-15
160,580,F&O,192731.04,2023-12-02
161,1531,Currency,58818.13,2024-09-02
162,546,Commodity,100907.78,2024-10-22
163,1730,Equity,26962.89,2023-04-15
164,325,Commodity,219675.52,2023-07-22
165,55,Equity,403511.42,2024-05-24
166,778,Equity,293398.62,2023-04-05
167,992,Equity,303566.31,2023-06-26
168,42,F&O,101091.43,2023-03-06
169,1321,Equity,172603.03,2024-07-06
170,1997,Equity,422775.81,2023-08-12
171,231,F&O,44840.24,2024-08-01
172,453,Commodity,429107.4,2024-01-15
173,1914,Equity,242361.32,2023-09-12
174,394,Equity,418736.57,2023-10-25
175,1546,Commodity,159685.2,2024-08-03
176,1382,Equity,170082.63,2023-06-20
177,1468,Currency,376050.83,2024-09-04
178,1152,F&O,392713.09,2024-10-13
179,691,Equity,115592.69,2024-12-18
180,1429,Equity,486462.79,2023-12-30
181,392,Equity,43160.56,2023-03-14
182,1217,Equity,35182.98,2023-03-01
183,604,Equity,298156.6,2024-03-30
184,881,F&O,361647.64,2023-12-02
185,1767,Equity,480482.18,2024-10-29
186,1102,F&O,203067.94,2023-05-04
187,85,F&O,13620.41,2024-03-30
188,1054,Equity,301845.27,2023-01-14
189,1749,Equity,145558.31,2024-02-20
190,49,Equity,217040.61,2023-01-27
191,1801,Equity,244746.27,2023-02-19
192,1169,Commodity,33191.79,2023-07-06
193,69,Equity,243504.91,2023-02-26
194,1082,Commodity,213733.51,2024-10-28
195,697,Equity,356559.59,2023-02-03
196,1598,F&O,323187.29,2024-06-21
197,479,F&O,93422.64,2024-01-06
198,820,Commodity,103863.32,2023-03-27
199,1469,Equity,126252.08,2023-06-09
200,1320,Equity,90296.27,2024-02-29
201,1702,F&O,328949.39,2024-12-12
202,1195,Equity,497220.66,2023-04-16
203,1599,Equity,326402.06,2024-01-26
204,147,F&O,303734.09,2024-05-26
205,1508,F&O,205554.04,2023-10-02
206,1330,F&O,156977.55,2023-10-16
207,1697,F&O,455625.8,2023-09-15
208,1677,Commodity,484531.94,2023-08-08
209,1870,Commodity,248891.31,2024-06-10
210,1016,F&O,145810.05,2024-06-16
211,609,F&O,385290.98,2023-02-28
212,446,Currency,67095.94,2023-12-26
213,221,Equity,383028.53,2024-08-16
214,1579,Equity,409655.24,2024-09-21
215,1969,Commodity,63327.07,2023-04-23
216,1828,F&O,488453.87,2023-10-03
217,1402,Equity,492770.63,2023-09-14
218,1644,Currency,468423.02,2023-11-25
219,1290,Equity,248521.37,2023-08-23
220,95,Commodity,123791.0,2023-02-20
221,262,Commodity,291422.63,2024-11-08
222,1849,Currency,210546.99,2023-08-09
223,897,Equity,103768.37,2024-08-18
224,1095,F&O,212414.53,2023-08-18
225,1978,Equity,332281.03,2023-08-10
226,219,Equity,36385.74,2024-10-27
227,1557,Equity,167375.58,2023-02-23
228,92,F&O,9879.65,2024-09-22
229,127,F&O,374998.26,2024-12-10
230,80,Equity,320704.94,2023-09-30
231,1848,F&O,32273.4,2023-07-17
232,1262,Commodity,482404.04,2023-05-08
233,983,Commodity,12288.16,2024-08-26
234,1396,Currency,295390.36,2023-01-09
235,916,Equity,388407.36,2023-08-15
236,486,Currency,394160.26,2024-07-11
237,694,Currency,18108.28,2023-05-14
238,25,Equity,453301.15,2023-01-16
239,156,Equity,459307.38,2023-08-03
240,1541,Equity,281133.8,2023-04-22
241,632,Equity,241559.52,2023-06-06
242,1813,F&O,23388.86,2024-02-29
243,1554,F&O,281415.12,2024-03-27
244,1967,Commodity,205280.16,2023-11-14
245,1734,F&O,386630.4,2023-12-26
246,1081,Equity,202537.9,2024-01-11
247,1629,Currency,342106.84,2023-10-23
248,19,Equity,51602.66,2023-07-17
249,1408,Currency,67343.18,2024-07-23
250,1889,Equity,70715.39,2024-02-02
251,1217,Currency,23717.22,2024-08-12
252,237,Equity,271123.1,2023-08-30
253,1411,Equity,397189.9,2024-03-04
254,1450,Equity,305595.19,2024-09-02
255,277,Commodity,287902.49,2023-01-06
256,1251,Currency,340631.34,2023-11-14
257,745,Equity,170483.02,2023-07-31
258,552,Currency,181615.08,2023-09-30
259,1347,F&O,157820.78,2023-03-25
260,1177,F&O,356342.36,2024-09-15
261,639,Commodity,81658.53,2024-12-10
262,237,Equity,7499.61,2023-12-26
263,998,Equity,298502.03,2024-01-16
264,55,Currency,471248.3,2024-06-23
265,1460,Currency,305094.55,2023-05-21
266,684,Currency,391677.9,2024-05-24
267,109,Currency,336722.56,2023-06-22
268,1890,Equity,249220.89,2023-01-20
269,1208,Commodity,359477.81,2024-09-20
270,1975,Equity,412227.96,2024-05-17
271,1392,Currency,113141.09,2024-07-19
272,1222,F&O,168729.11,2023-08-15
273,1395,F&O,112639.14,2023-04-19
274,373,F&O,226634.3,2023-11-16
275,973,Equity,442647.21,2023-11-04
276,1521,Equity,173258.34,2023-03-28
277,1623,Currency,187858.98,2023-08-16
278,201,Commodity,430323.25,2023-11-06
279,849,Equity,258171.79,2024-01-14
280,509,Commodity,268189.05,2024-08-05
281,1346,F&O,430539.8,2024-01-20
282,275,Equity,245772.84,2023-04-23
283,211,Equity,341097.21,2023-10-20
284,504,Currency,43736.69,2023-11-01
285,1927,Commodity,90137.22,2023-10-18
286,1142,F&O,202783.72,2023-04-15
287,703,F&O,247924.69,2023-10-18
288,1578,Equity,482901.12,2024-04-21
289,42,F&O,485355.16,2024-06-04
290,315,Equity,425747.35,2024-11-07
291,788,Equity,158483.82,2023-03-01
292,329,F&O,482050.12,2023-11-08
293,1041,Currency,344981.09,2023-04-16
294,283,Equity,197077.12,2024-09-14
295,943,Equity,351135.78,2023-03-30
296,258,F&O,9244.84,2023-09-25
297,575,Currency,73931.19,2024-08-05
298,574,Commodity,415013.17,2023-04-29
299,612,Currency,323141.24,2024-03-20
300,1043,F&O,182733.16,2024-03-04
301,1553,Commodity,250832.65,2023-12-17
302,837,Equity,452665.93,2023-11-02
303,423,Equity,316157.48,2024-09-06
304,1490,Equity,199676.49,2023-07-21
305,1397,F&O,61043.0,2023-01-23
306,758,Currency,147579.65,2023-03-31
307,763,Currency,489191.78,2024-04-15
308,1991,Equity,219244.17,2023-04-03
309,1105,Equity,236447.89,2023-10-12
310,1575,Equity,249800.42,2024-11-13
311,1572,Equity,442167.91,2023-11-05
312,424,F&O,302360.21,2024-06-19
313,429,Currency,347144.84,2024-01-11
314,1412,Currency,195317.36,2024-12-14
315,1945,F&O,15514.72,2024-05-13
316,1733,Commodity,465555.48,2024-09-27
317,1694,F&O,474614.71,2023-05-22
318,204,Equity,474627.37,2023-02-21
319,196,F&O,471899.86,2023-03-11
320,728,F&O,407805.73,2023-09-17
321,285,Commodity,342613.43,2024-11-28
322,1993,Equity,422410.45,2024-12-19
323,196,Equity,300672.57,2023-10-20
324,307,Equity,68050.44,2024-01-13
325,1688,Currency,196217.86,2023-02-08
326,14,Equity,485676.16,2023-12-14
327,1861,Commodity,176217.77,2024-07-31
328,1170,Commodity,434046.13,2024-06-08
329,1962,Equity,47512.52,2024-12-06
330,1081,F&O,167757.74,2024-05-20
331,723,Currency,176125.71,2024-01-17
332,780,F&O,26749.67,2024-02-29
333,1234,Currency,60428.07,2024-03-11
334,529,Equity,97389.44,2024-10-06
335,798,Equity,419069.98,2024-12-07
336,344,Currency,32637.59,2023-11-18
337,1739,Commodity,150051.75,2024-08-12
338,1635,Currency,6077.33,2023-09-07
339,1303,F&O,348118.24,2023-06-29
340,209,Currency,310531.24,2024-11-19
341,641,Commodity,322846.15,2023-01-29
342,1359,Commodity,187817.01,2024-05-10
343,1312,F&O,104925.64,2024-11-08
344,252,Equity,360439.79,2023-11-22
345,1289,Currency,405747.82,2024-10-09
346,271,Equity,70162.15,2023-07-06
347,1948,F&O,243927.88,2023-02-24
348,920,Equity,125109.13,2024-05-28
349,1724,F&O,84885.32,2024-02-14
350,419,F&O,367428.33,2023-01-17
351,1750,Equity,269510.37,2024-07-24
352,795,Currency,108876.48,2023-03-29
353,1235,Equity,155690.01,2023-08-11
354,1389,F&O,483360.18,2023-02-27
355,1100,Equity,424491.1,2024-12-04
356,1684,Equity,440093.42,2024-07-15
357,1345,Equity,230546.04,2024-12-25
358,725,Commodity,312279.82,2023-08-18
359,433,Equity,189007.1,2023-06-03
360,109,Currency,39778.28,2023-09-30
361,641,Equity,201133.59,2023-02-15
362,1546,Equity,297396.4,2024-03-27
363,1071,Equity,144284.99,2023-11-02
364,379,Equity,424127.34,2024-03-02
365,1851,Commodity,76398.98,2023-04-28
366,1120,Currency,184197.42,2024-11-18
367,958,F&O,63327.05,2024-08-02
368,103,Equity,203011.23,2023-09-08
369,892,Equity,20790.99,2024-02-07
370,854,F&O,137002.15,2023-07-19
371,1170,Currency,200966.89,2023-05-26
372,1904,Equity,239604.52,2023-02-20
373,1966,Commodity,272304.48,2024-01-03
374,1952,Equity,138220.57,2024-11-28
375,1051,Equity,261997.63,2023-11-16
376,1756,F&O,254993.31,2023-07-18
377,530,Equity,158772.85,2024-03-16
378,679,Commodity,415269.96,2023-05-25
379,1969,Equity,273274.92,2023-02-28
380,989,Commodity,166802.59,2024-12-07
381,1106,Equity,473721.92,2023-05-23
382,428,Currency,422711.09,2023-08-11
383,1608,Equity,491311.32,2023-04-10
384,822,Currency,346424.7,2023-01-26
385,1503,Commodity,189733.23,2024-03-07
386,1790,Currency,141149.47,2024-06-09
387,1186,F&O,331995.6,2023-05-02
388,1863,Commodity,490427.47,2024-04-09
389,932,Equity,313730.82,2023-09-22
390,1426,Equity,440925.86,2023-01-07
391,1532,Equity,165222.61,2024-12-31
392,1062,Equity,204069.94,2023-08-08
393,1979,Currency,453231.34,2024-11-25
394,511,Equity,378676.48,2024-01-31
395,393,F&O,490723.75,2024-04-01
396,713,F&O,387607.34,2023-04-18
397,494,F&O,224809.34,2024-05-06
398,1224,F&O,266002.94,2024-09-27
399,1279,Equity,450357.23,2024-11-12
400,1203,F&O,276271.72,2024-04-04
401,547,Equity,128443.29,2023-01-09
402,594,Currency,218374.29,2024-01-02
403,389,Commodity,258641.68,2023-05-05
404,1422,Currency,49263.2,2023-06-11
405,1756,Equity,372137.57,2023-02-05
406,158,Equity,55567.61,2023-01-04
407,1028,Equity,203053.94,2024-02-17
408,167,Equity,402506.6,2023-03-28
409,1492,Equity,234317.61,2024-04-27
410,960,F&O,421165.74,2024-08-25
411,409,Equity,171598.78,2023-02-27
412,1436,F&O,478860.51,2023-05-20
413,1228,Currency,105524.75,2023-06-21
414,194,F&O,20093.81,2023-09-17
415,235,Equity,436340.84,2024-05-09
416,718,Equity,376349.16,2023-01-25
417,1174,F&O,116759.93,2023-07-17
418,1183,Equity,492386.06,2024-08-01
419,1303,F&O,251637.78,2024-02-27
420,816,Equity,475581.65,2023-04-28
421,404,Currency,253009.36,2023-01-06
422,893,Commodity,236465.42,2023-04-07
423,678,F&O,225120.13,2023-03-13
424,1335,Equity,168102.76,2024-03-07
425,68,Equity,267317.05,2024-01-15
426,1487,Commodity,226824.78,2024-07-03
427,88,F&O,19336.69,2023-02-25
428,217,Equity,130957.18,2024-09-06
429,1,Equity,107348.28,2023-04-13
430,1159,Equity,433850.37,2023-08-04
431,1721,Commodity,299836.12,2023-01-21
432,1375,Equity,382077.87,2024-09-18
433,140,F&O,478456.19,2023-07-29
434,618,F&O,322375.6,2023-10-18
435,133,F&O,491322.39,2024-12-15
436,1644,Currency,156570.26,2023-07-07
437,178,Currency,93947.32,2023-05-31
438,810,F&O,202251.63,2023-07-10
439,1382,Equity,235928.91,2024-02-11
440,380,Equity,447785.41,2023-08-02
441,908,F&O,280410.28,2024-07-07
442,1895,F&O,146798.32,2024-04-22
443,658,F&O,371574.51,2023-07-13
444,450,Equity,253410.14,2023-09-07
445,586,F&O,81903.84,2024-08-15
446,463,Equity,288833.07,2023-02-10
447,990,Commodity,455785.87,2024-01-05
448,1132,Equity,421468.69,2023-01-20
449,122,Commodity,293818.18,2023-01-09
450,17,Equity,189164.5,2024-09-27
451,1220,Equity,44402.4,2023-07-22
452,327,Commodity,235354.81,2024-08-12
453,318,Equity,376287.64,2024-12-22
454,809,Commodity,180776.59,2023-01-18
455,1503,F&O,118487.97,2023-11-15
456,1276,F&O,465758.48,2024-12-12
457,503,Equity,410956.29,2023-10-09
458,119,F&O,319499.53,2024-04-20
459,1698,F&O,69254.89,2023-09-09
460,710,F&O,73309.51,2023-12-06
461,1522,F&O,52506.58,2024-04-06
462,1510,Equity,308532.04,2024-09-22
463,45,Equity,58665.84,2024-02-05
464,314,Equity,421470.97,2024-01-06
465,1203,Equity,496489.54,2023-10-09
466,1918,Equity,183807.74,2024-01-25
467,418,Commodity,227381.25,2023-12-03
468,556,Commodity,356121.92,2023-12-11
469,1807,Equity,468639.35,2024-06-02
470,1102,Currency,447152.79,2023-09-30
471,326,F&O,29738.32,2023-09-10
472,1714,Currency,85366.83,2024-10-01
473,1381,Commodity,377544.0,2024-01-09
474,1440,Commodity,344757.66,2024-08-26
475,1987,Equity,67476.08,2023-01-06
476,515,Equity,251530.23,2024-02-18
477,214,Equity,390626.5,2024-08-08
478,1878,Commodity,110171.56,2024-05-12
479,74,Equity,435772.53,2023-02-25
480,1587,Commodity,27432.92,2024-02-02
481,1603,Equity,391315.35,2023-08-26
482,509,Commodity,308293.63,2024-05-04
483,332,Equity,158284.47,2023-01-22
484,1117,Equity,360745.34,2024-03-16
485,688,Equity,391400.53,2023-02-10
486,657,Equity,467015.59,2023-09-15
487,1543,Equity,184519.56,2024-03-26
488,1293,Commodity,343322.35,2023-02-17
489,1400,Equity,301705.52,2024-05-17
490,1858,Equity,263077.83,2023-05-19
491,1028,Commodity,445317.82,2023-07-21
492,1162,Equity,2580.49,2024-10-13
493,1255,Currency,141773.69,2024-05-23
494,600,Currency,269600.34,2024-10-15
495,1553,Equity,89968.34,2023-10-13
496,1076,Equity,454025.4,2023-08-21
497,1670,Equity,324149.96,2023-11-12
498,1747,Commodity,239463.61,2024-04-05
499,325,F&O,407536.18,2024-10-31
500,992,F&O,225992.21,2024-07-03
501,1994,Commodity,279767.85,2024-08-09
502,1929,Equity,2372.75,2023-11-17
503,1755,Commodity,183484.56,2023-06-24
504,717,Commodity,70256.45,2023-02-08
505,723,F&O,345154.65,2024-03-08
506,277,Currency,240034.45,2024-04-29
507,536,Commodity,151577.02,2024-08-07
508,1510,Equity,234448.34,2023-02-27
509,1540,Equity,105605.31,2024-05-10
510,152,F&O,462618.23,2024-08-23
511,955,Equity,27932.34,2023-05-14
512,1507,Currency,432843.1,2024-10-16
513,259,Equity,256168.04,2024-05-23
514,324,F&O,309854.3,2024-08-29
515,1017,F&O,152000.2,2023-06-05
516,869,Equity,483382.11,2023-07-20
517,1192,Currency,141643.63,2024-05-13
518,688,Currency,294850.12,2024-02-06
519,310,F&O,496714.94,2024-05-10
520,803,Equity,440666.1,2024-05-02
521,1503,Equity,268628.58,2023-06-09
522,1080,Equity,495196.89,2023-07-30
523,620,Equity,350983.56,2024-03-28
524,473,F&O,105141.51,2024-11-14
525,1320,Currency,203392.51,2023-03-11
526,461,F&O,167912.17,2023-11-10
527,1348,Currency,172662.84,2024-03-06
528,814,F&O,380467.76,2024-01-17
529,846,F&O,292547.2,2024-10-18
530,1165,Currency,20008.26,2023-06-16
531,667,F&O,438846.79,2024-01-26
532,262,Currency,149101.27,2023-11-15
533,1809,Equity,498540.36,2023-04-27
534,1444,Equity,477141.17,2024-11-27
535,1768,Currency,470324.83,2024-05-26
536,1265,F&O,405752.67,2023-07-22
537,355,Currency,111086.05,2023-06-11
538,1873,Currency,266783.74,2024-04-06
539,770,Equity,112927.01,2024-11-30
540,1785,F&O,130578.05,2024-07-08
541,1613,Equity,305864.93,2023-07-20
542,180,F&O,21375.94,2023-08-19
543,66,Commodity,484759.82,2024-05-30
544,820,Equity,459417.91,2023-07-25
545,1372,F&O,191003.02,2023-11-27
546,171,Commodity,258195.8,2024-08-28
547,474,Equity,233593.59,2023-12-13
548,534,Commodity,441217.69,2023-12-15
549,1391,F&O,344612.34,2023-06-09
550,1131,Currency,139777.51,2024-09-16
551,439,Equity,223973.79,2023-09-09
552,835,Equity,215054.02,2023-08-10
553,227,F&O,479708.25,2024-08-28
554,1468,Equity,88480.14,2024-01-29
555,442,Currency,45698.59,2024-01-31
556,396,Equity,440428.8,2023-06-16
557,728,Commodity,448446.31,2024-03-27
558,1605,F&O,435997.8,2023-05-18
559,84,Equity,255977.48,2023-07-29
560,1639,Equity,330212.47,2024-08-07
561,1575,F&O,282118.16,2023-08-02
562,1037,F&O,35654.47,2023-12-26
563,1833,Equity,298321.61,2024-10-24
564,1849,Currency,7793.46,2023-08-23
565,693,Equity,163168.72,2024-12-28
566,493,Equity,466214.0,2024-02-01
567,1292,F&O,152718.59,2023-10-31
568,1549,Equity,469973.49,2023-04-19
569,1144,Currency,125816.84,2024-01-25
570,970,Equity,157966.56,2023-04-30
571,353,Equity,314575.34,2024-09-01
572,1081,Equity,381051.86,2023-07-29
573,40,F&O,251192.5,2024-03-02
574,1910,F&O,441175.73,2024-06-27
575,1360,F&O,21079.97,2023-11-26
576,640,Equity,461175.22,2023-08-14
577,173,Equity,98957.59,2024-12-27
578,1571,Commodity,442235.13,2024-09-26
579,259,Equity,201030.73,2023-05-27
580,1912,Currency,416545.77,2023-12-06
581,517,Equity,336161.11,2024-07-17
582,730,Commodity,88794.87,2023-06-29
583,523,Equity,459105.74,2023-10-17
584,1918,F&O,123513.18,2023-07-06
585,839,Equity,122825.92,2024-04-30
586,117,Equity,407275.27,2023-12-03
587,184,Equity,53830.75,2023-04-18
588,1930,Equity,111795.92,2023-05-06
589,1898,Equity,252335.11,2024-12-06
590,1140,F&O,415408.04,2023-02-03
591,162,F&O,74594.5,2024-03-13
592,1603,Commodity,274286.45,2023-10-03
593,1736,F&O,355909.06,2024-05-08
594,543,F&O,430437.02,2023-07-01
595,1611,Equity,467847.21,2023-08-27
596,1261,F&O,392535.32,2023-12-14
597,839,Equity,326761.37,2023-05-26
598,1090,Commodity,217376.42,2023-02-13
599,1094,Equity,56942.97,2024-05-13
600,1833,Equity,355158.86,2023-10-22
601,447,F&O,496375.91,2024-06-14
602,416,Equity,368643.54,2024-12-27
603,532,Currency,9338.84,2023-07-30
604,441,Currency,248633.73,2024-02-06
605,738,Equity,307708.67,2023-08-19
606,1970,Equity,345147.43,2023-12-05
607,464,F&O,360143.19,2023-01-05
608,1945,F&O,279496.11,2023-11-07
609,396,Equity,112456.81,2023-06-11
610,711,Commodity,471158.13,2023-08-04
611,1575,F&O,348636.57,2024-09-03
612,1681,Equity,119183.18,2023-06-20
613,1581,Equity,161838.59,2023-09-09
614,395,Commodity,461041.91,2024-11-11
615,326,Equity,443855.11,2023-02-07
616,1917,Commodity,203168.07,2023-08-16
617,1943,Equity,20115.3,2024-09-28
618,1115,F&O,25200.19,2023-10-05
619,750,Currency,142675.23,2023-10-12
620,1094,Currency,314931.99,2024-05-24
621,1190,Equity,292513.12,2024-10-10
622,642,Equity,317280.07,2024-01-01
623,214,Commodity,358924.2,2024-09-11
624,1876,Equity,10497.09,2023-03-09
625,1625,Equity,53437.71,2023-04-14
626,1359,Currency,180382.24,2024-02-05
627,1788,Equity,78275.14,2023-09-03
628,369,Equity,38584.7,2024-11-07
629,1885,Equity,320841.23,2023-07-11
630,1608,F&O,407852.9,2024-12-07
631,1701,F&O,376560.7,2024-10-05
632,49,Equity,408702.85,2023-10-23
633,1076,Equity,333262.42,2023-05-24
634,1313,Equity,367937.32,2024-12-31
635,1814,F&O,136617.61,2023-01-26
636,1650,Equity,496511.01,2023-09-08
637,1263,Currency,92399.66,2024-08-29
638,133,Equity,108032.44,2024-12-12
639,999,Currency,145171.99,2024-09-06
640,786,Equity,487690.88,2023-07-12
641,1190,Commodity,494156.01,2024-01-16
642,1398,Equity,397651.98,2023-01-02
643,373,Equity,314899.74,2024-08-25
644,1829,Currency,260511.23,2023-02-14
645,1502,Currency,485339.8,2023-01-03
646,1779,Equity,348115.78,2024-03-24
647,479,Commodity,472420.33,2024-07-29
648,832,F&O,158958.85,2023-05-15
649,650,Currency,167553.62,2023-10-18
650,1615,Equity,427507.57,2023-10-05
651,682,F&O,75777.61,2023-06-25
652,1659,F&O,473018.0,2023-10-09
653,688,Equity,254229.7,2023-04-30
654,1324,Currency,463280.53,2023-06-23
655,82,Equity,169059.6,2024-03-14
656,87,Equity,358263.49,2024-04-03
657,225,F&O,241954.69,2024-09-21
658,16,F&O,313775.01,2023-12-07
659,822,Equity,252681.87,2024-11-27
660,1382,Equity,483590.69,2024-12-26
661,163,Currency,346360.59,2023-05-01
662,1634,Equity,126408.17,2024-07-28
663,1692,F&O,454928.78,2024-10-22
664,514,Commodity,147720.84,2024-05-07
665,350,Equity,186430.94,2023-10-03
666,1933,Currency,51959.73,2023-01-29
667,681,Commodity,450083.29,2024-11-15
668,1488,F&O,143769.9,2023-09-01
669,1851,F&O,130199.89,2023-11-17
670,1861,F&O,460211.04,2024-10-04
671,1399,F&O,402957.9,2023-12-18
672,1116,Currency,71398.38,2024-06-15
673,181,Equity,384892.93,2023-03-22
674,743,Equity,456603.52,2023-10-20
675,1325,Equity,40177.1,2023-10-21
